"Year","Sex","Country","Region","Health board","Birthweight","Age","Neonatal period","Unit measure","Unit multiplier","Observation status","GeoCode","Value"
"2017","","England and Wales","","","1500 to 1999","Not stated","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1500 to 1999","Not stated","","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","2000 to 2499","All","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.5"
"2017","","England and Wales","","","2000 to 2499","All","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","1"
"2017","","England and Wales","","","2000 to 2499","All","","Rate per 1,000 live births","Units","Undefined","K04000001","3.5"
"2017","","England and Wales","","","2000 to 2499","Less than 20","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","2000 to 2499","Less than 20","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","2000 to 2499","Less than 20","","Rate per 1,000 live births","Units","Undefined","K04000001","3.4"
"2017","","England and Wales","","","2000 to 2499","20 to 24","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","3.7"
"2017","","England and Wales","","","2000 to 2499","20 to 24","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","1.6"
"2017","","England and Wales","","","2000 to 2499","20 to 24","","Rate per 1,000 live births","Units","Undefined","K04000001","5.3"
"2017","","England and Wales","","","2000 to 2499","25 to 29","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.5"
"2017","","England and Wales","","","2000 to 2499","25 to 29","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.8"
"2017","","England and Wales","","","2000 to 2499","25 to 29","","Rate per 1,000 live births","Units","Undefined","K04000001","3.4"
"2017","","England and Wales","","","2000 to 2499","30 to 34","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.2"
"2017","","England and Wales","","","2000 to 2499","30 to 34","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.7"
"2017","","England and Wales","","","2000 to 2499","30 to 34","","Rate per 1,000 live births","Units","Undefined","K04000001","3"
"2017","","England and Wales","","","2000 to 2499","35 to 39","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","1.9"
"2017","","England and Wales","","","2000 to 2499","35 to 39","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","1"
"2017","","England and Wales","","","2000 to 2499","35 to 39","","Rate per 1,000 live births","Units","Undefined","K04000001","2.9"
"2017","","England and Wales","","","2000 to 2499","40  and  over","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.8"
"2017","","England and Wales","","","2000 to 2499","40  and  over","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","2000 to 2499","40  and  over","","Rate per 1,000 live births","Units","Undefined","K04000001","4.5"
"2017","","England and Wales","","","2000 to 2499","Not stated","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","2000 to 2499","Not stated","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","2000 to 2499","Not stated","","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","2500 to 2999","All","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.6"
"2017","","England and Wales","","","2500 to 2999","All","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.3"
"2017","","England and Wales","","","2500 to 2999","All","","Rate per 1,000 live births","Units","Undefined","K04000001","0.9"
"2017","","England and Wales","","","2500 to 2999","Less than 20","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
